y,m,d,h,c
2018,1,11,12,564
2018,1,11,13,525
2018,1,11,14,665
2018,1,11,15,717
2018,1,11,16,665
2018,1,11,17,822
2018,1,11,18,574
2018,1,11,19,485
2018,1,11,20,662
2018,1,11,21,549
2018,1,11,22,668
2018,1,11,23,543
2018,1,12,0,912
2018,1,12,1,562
2018,1,12,2,226
2018,1,12,3,160
2018,1,12,4,176
2018,1,12,5,176
2018,1,12,6,219
2018,1,12,7,350
2018,1,12,8,666
2018,1,12,9,486
2018,1,12,10,669
2018,1,12,11,758
2018,1,12,12,643
2018,1,12,13,764
2018,1,12,14,773
2018,1,12,15,915
2018,1,12,16,859
2018,1,12,17,1138
2018,1,12,18,665
2018,1,12,19,525
2018,1,12,20,579
2018,1,12,21,620
2018,1,12,22,573
2018,1,12,23,569
2018,1,13,0,859
2018,1,13,1,507
2018,1,13,2,108
2018,1,13,3,160
2018,1,13,4,71
2018,1,13,5,53
2018,1,13,6,139
2018,1,13,7,213
2018,1,13,8,464
2018,1,13,9,556
2018,1,13,10,942
2018,1,13,11,762
2018,1,13,12,472
2018,1,13,13,658
2018,1,13,14,917
2018,1,13,15,774
2018,1,13,16,801
2018,1,13,17,780
2018,1,13,18,1086
2018,1,13,19,611
2018,1,13,20,674
2018,1,13,21,935
2018,1,13,22,744
2018,1,13,23,668
2018,1,14,0,984
2018,1,14,1,636
2018,1,14,2,217
2018,1,14,3,139
2018,1,14,4,259
2018,1,14,5,164
2018,1,14,6,164
2018,1,14,7,334
2018,1,14,8,369
2018,1,14,9,641
2018,1,14,10,704
2018,1,14,11,942
2018,1,14,12,803
2018,1,14,13,785
2018,1,14,14,668
2018,1,14,15,932
2018,1,14,16,1472
2018,1,14,17,1557
2018,1,14,18,1327
2018,1,14,19,921
2018,1,14,20,786
2018,1,14,21,1330
2018,1,14,22,1118
2018,1,14,23,987
2018,1,15,0,1380
2018,1,15,1,1097
2018,1,15,2,644
2018,1,15,3,539
2018,1,15,4,703
2018,1,15,5,469
2018,1,15,6,606
2018,1,15,7,745
2018,1,15,8,820
2018,1,15,9,917
2018,1,15,10,1092
2018,1,15,11,1464
2018,1,15,12,1594
2018,1,15,13,1272
2018,1,15,14,1237
2018,1,15,15,871
2018,1,15,16,909
2018,1,15,17,881
2018,1,15,18,714
2018,1,15,19,552
2018,1,15,20,1033
2018,1,15,21,1137
2018,1,15,22,1073
2018,1,15,23,1117
2018,1,16,0,1323
2018,1,16,1,927
2018,1,16,2,603
2018,1,16,3,624
2018,1,16,4,618
2018,1,16,5,620
2018,1,16,6,512
2018,1,16,7,641
2018,1,16,8,911
2018,1,16,9,1070
2018,1,16,10,1047
2018,1,16,11,1012
2018,1,16,12,1588
2018,1,16,13,833
2018,1,16,14,1257
2018,1,16,15,1243
2018,1,16,16,863
2018,1,16,17,1282
2018,1,16,18,648
2018,1,16,19,631
2018,1,16,20,609
2018,1,16,21,632
2018,1,16,22,897
2018,1,16,23,880
2018,1,17,0,1308
2018,1,17,1,897
2018,1,17,2,510
2018,1,17,3,507
2018,1,17,4,504
2018,1,17,5,504
2018,1,17,6,589
2018,1,17,7,817
2018,1,17,8,922
2018,1,17,9,1094
2018,1,17,10,1191
2018,1,17,11,1232
2018,1,17,12,1175
2018,1,17,13,978
2018,1,17,14,1331
2018,1,17,15,1429
2018,1,17,16,1637
2018,1,17,17,1474
2018,1,17,18,1094
2018,1,17,19,935
2018,1,17,20,1150
2018,1,17,21,1399
2018,1,17,22,1226
2018,1,17,23,1030
2018,1,18,0,1401
2018,1,18,1,991
2018,1,18,2,479
2018,1,18,3,453
2018,1,18,4,426
2018,1,18,5,453
2018,1,18,6,463
2018,1,18,7,697
2018,1,18,8,892
2018,1,18,9,1302
2018,1,18,10,982
2018,1,18,11,787
2018,1,18,12,727
2018,1,18,13,700
2018,1,18,14,1029
2018,1,18,15,955
2018,1,18,16,1109
2018,1,18,17,827
2018,1,18,18,734
2018,1,18,19,729
2018,1,18,20,692
2018,1,18,21,665
2018,1,18,22,577
2018,1,18,23,528
2018,1,19,0,1082
2018,1,19,1,643
2018,1,19,2,241
2018,1,19,3,257
2018,1,19,4,176
2018,1,19,5,165
2018,1,19,6,250
2018,1,19,7,398
2018,1,19,8,482
2018,1,19,9,657
2018,1,19,10,903
2018,1,19,11,808
2018,1,19,12,1322
2018,1,19,13,651
2018,1,19,14,1132
2018,1,19,15,757
2018,1,19,16,827
2018,1,19,17,645
2018,1,19,18,645
2018,1,19,19,470
2018,1,19,20,483
2018,1,19,21,527
2018,1,19,22,481
2018,1,19,23,340
2018,1,20,0,750
